BOOK-IDS,NAMES,GENRE,RATING,BOOK-URLS,IMAGE URLS
25111004,Nov-09,Romance,5,https://www.goodreads.com/book/show/25111004-november-9,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447138036i/25111004.jpg
27362503,"It Ends with Us (It Ends with Us, #1)",Romance,4,https://www.goodreads.com/book/show/27362503-it-ends-with-us,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1688011813i/27362503.jpg
45484397,"The Deal (Off-Campus, #1)",Romance,4,https://www.goodreads.com/book/show/45484397-the-deal,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557156071i/45484397.jpg
45756920,"The Mistake (Off-Campus, #2)",Romance,4,https://www.goodreads.com/book/show/45756920-the-mistake,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557835772i/45756920.jpg
36206591,Love and Other Words,Romance,5,https://www.goodreads.com/book/show/36206591-love-and-other-words,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667534514i/36206591.jpg
39083635,"The Sweetest Oblivion (Made, #1)",Romance,4,https://www.goodreads.com/book/show/39083635-the-sweetest-oblivion,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1528339619i/39083635.jpg
45023611,"The Roommate (The Shameless Series, #1)",Romcom,3,https://www.goodreads.com/book/show/45023611-the-roommate,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583339454i/45023611.jpg
45421955,How to Finish Everything You Start,Self help,4,https://www.goodreads.com/book/show/45421955-how-to-finish-everything-you-start,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556695009i/45421955.jpg
45885644,The Sun Down Motel,Thriller,4,https://www.goodreads.com/book/show/45885644-the-sun-down-motel,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570443079i/45885644.jpg
127561075,"Throttled (Dirty Air, #1)",Romance,4,https://www.goodreads.com/book/show/127561075-throttled,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681111333i/127561075.jpg
50026069,"Collided (Dirty Air, #2)",Romance,5,https://www.goodreads.com/book/show/50026069-collided,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587051169i/50026069.jpg
53450790,The Perfect Marriage,Mystery,4,https://www.goodreads.com/book/show/53450790-the-perfect-marriage,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1593388297i/53450790.jpg
55196813,"The Maid (Molly the Maid, #1)",Thriller,5,https://www.goodreads.com/book/show/55196813-the-maid,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643228739i/55196813.jpg
60164470,The Overnight Guest,Mystery,4,https://www.goodreads.com/book/show/60164470-the-overnight-guest,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1642636788i/60164470.jpg
58014893,Every Summer After,Thriller,3,https://www.goodreads.com/book/show/58014893-every-summer-after,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630101647i/58014893.jpg
58580181,The Rules of the Road,Horror,4,https://www.goodreads.com/book/show/58580181-the-rules-of-the-road,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626717728i/58580181.jpg
58995736,"A Not So Meet Cute (Cane Brothers, #1)",Romance,5,https://www.goodreads.com/book/show/58995736-a-not-so-meet-cute,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634649121i/58995736.jpg
62022434,"Things We Hide from the Light (Knockemout, #2)",Romance,4,https://www.goodreads.com/book/show/62022434-things-we-hide-from-the-light,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718386717i/62022434.jpg
60909831,"Mile High (Windy City, #1)",Romance,4,https://www.goodreads.com/book/show/60909831-mile-high,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1651354353i/60909831.jpg
61273351,The Only Survivors,Thriller,4,https://www.goodreads.com/book/show/61273351-the-only-survivors,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678900287i/61273351.jpg
61718053,Happy Place,Romance,5,https://www.goodreads.com/book/show/61718053-happy-place,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660145160i/61718053.jpg
62334530,None of This Is True,Thriller,5,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530.jpg
62703226,The Only One Left,Thriller,4,https://www.goodreads.com/book/show/62703226-the-only-one-left,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226.jpg
84943172,"The Right Move (Windy City, #2)",Romance,5,https://www.goodreads.com/book/show/84943172-the-right-move,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674590603i/84943172.jpg
22557272,The Girl on the Train,Mystery,4,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272.jpg
32998876,101 Essays That Will Change The Way You Think,Self help,5,https://www.goodreads.com/book/show/32998876-101-essays-that-will-change-the-way-you-think,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479346785i/32998876.jpg
35522836,No Exit,Mystery,4,https://www.goodreads.com/book/show/35522836-no-exit,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498539883i/35522836.jpg
40097951,The Silent Patient,Thriller,5,https://www.goodreads.com/book/show/40097951-the-silent-patient,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951.jpg
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Mystery,5,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545494980i/40916679.jpg
59344312,Verity,Mystery,5,https://www.goodreads.com/book/show/59344312-verity,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634158558i/59344312.jpg
45885495,His & Hers,Thriller,5,https://www.goodreads.com/book/show/45885495-his-hers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1595773166i/45885495.jpg
55710822,"Better than the Movies (Better than the Movies, #1)",Romance,5,https://www.goodreads.com/book/show/55710822-better-than-the-movies,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618150545i/55710822.jpg
49624654,"The Trouble with Hating You (The Trouble with Hating You, #1)",Romance,5,https://www.goodreads.com/book/show/49624654-the-trouble-with-hating-you,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567800749l/49624654.jpg
51588815,"The Marriage Game (Marriage Game, #1)",Romance,5,https://www.goodreads.com/book/show/51588815-the-marriage-game,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569423917l/51588815.jpg
57007401,"Dating Dr. Dil (If Shakespeare Was an Auntie, #1)",Romance,5,https://www.goodreads.com/book/show/57007401-dating-dr-dil,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1642405300i/57007401.jpg
53608355,The Favor,Romance,4,https://www.goodreads.com/book/show/53608355-the-favor,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598134731i/53608355.jpg
54189398,"The Spanish Love Deception (Spanish Love Deception, #1)",Romance,5,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610900883i/54189398.jpg
56238004,The Good Lie,Mystery,4,https://www.goodreads.com/book/show/56238004-the-good-lie,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607579240i/56238004.jpg
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Romance,5,https://www.goodreads.com/book/show/55659629-it-happened-one-summer,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604991895i/55659629.jpg
55817097,"Twisted Love (Twisted, #1)",Romance,4,https://www.goodreads.com/book/show/55817097-twisted-love,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618487915i/55817097.jpg
56653002,"Twisted Games (Twisted, #2)",Romance,4,https://www.goodreads.com/book/show/56653002-twisted-games,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625752847i/56653002.jpg
56688531,"Twisted Hate (Twisted, #3)",Romance,5,https://www.goodreads.com/book/show/56688531-twisted-hate,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1641478689i/56688531.jpg
60217302,"Twisted Lies (Twisted, #4)",Romance,4,https://www.goodreads.com/book/show/60217302-twisted-lies,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654797490i/60217302.jpg
